month,game,players,total_rating,recent_rating
0,HD2,458709,76,76
1,HD2,440473,84,87
2,HD2,345188,86,91
3,HD2,125825,73,66
4,HD2,91692,74,81
5,HD2,47102,74,84
6,HD2,62819,72,45
7,HD2,68380,71,51
8,HD2,75778,73,87
9,HD2,56840,73,89
10,HD2,150169,75,95
11,HD2,94658,75,90
12,HD2,97082,76,92
13,HD2,74838,76,92
14,HD2,49027,76,86
15,HD2,163581,77,87
16,HD2,121655,77,72
17,HD2,75735,78,90
18,HD2,167795,78,88
19,HD2,178795,83,73
20,HD2,62498,83,64
21,HD2,38184,82,61
22,HD2,69646,82,87
23,HD2,64530,82,86
24,HD2,173188,83,86
25,HD2,83069,82,71

26,RSS,102376,86,79
27,RSS,201933,85,78
28,RSS,156080,85,77
29,RSS,101431,85,77
30,RSS,89130,85,73
31,RSS,73646,85,73
32,RSS,75832,85,75
33,RSS,91165,85,72
34,RSS,76426,85,71
35,RSS,59105,85,74
36,RSS,76958,84,81
38,RSS,95864,84,78
39,RSS,101606,84,65
40,RSS,145495,84,76
41,RSS,107312,84,77
42,RSS,89196,84,75
43,RSS,142025,83,63
44,RSS,111374,83,67
45,RSS,100219,83,71
46,RSS,94483,83,72
47,RSS,63225,83,69
48,RSS,51377,82,68
49,RSS,67529,82,75
50,RSS,88391,82,71
51,RSS,111149,82,76
52,RSS,139019,82,75

53,OW,41578,16,34
54,OW,45889,17,35
55,OW,61016,17,35
56,OW,51577,18,34
57,OW,50551,18,33
58,OW,52008,19,32
59,OW,59158,19,33
60,OW,60042,20,36
61,OW,58250,20,37
62,OW,56607,21,37
63,OW,48682,21,45
64,OW,36635,22,37
65,OW,59332,22,36
66,OW,40235,22,47
67,OW,60127,23,45
68,OW,40170,23,47
69,OW,37362,23,46
70,OW,30212,24,47
71,OW,58795,24,46
72,OW,46721,33,50
73,OW,51405,33,50
74,OW,40704,33,51
75,OW,51973,34,53
76,OW,42873,34,53
77,OW,165651,36,55
78,OW,113070,37,59
